Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-02 00:00:00+07:00,1947.8630180984248,1972.0100803062564,1947.8630180984248,1963.9610595703125,23401400,0.0,0.0
2015-01-05 00:00:00+07:00,1955.9123752958053,1955.9123752958053,1931.7653089341288,1939.8143310546875,27649600,0.0,0.0
2015-01-06 00:00:00+07:00,1931.7653089341288,1947.8633531752466,1915.667264693011,1939.8143310546875,47602800,0.0,0.0
2015-01-07 00:00:00+07:00,1931.7652874228393,1963.9613755465534,1923.7162653919108,1955.912353515625,38775600,0.0,0.0
2015-01-08 00:00:00+07:00,1963.9613755465534,1972.0103975774819,1939.814309453768,1955.912353515625,33511200,0.0,0.0
2015-01-09 00:00:00+07:00,1955.9123818002097,2012.2555368314913,1955.9123818002097,1980.0594482421875,59709000,0.0,0.0
2015-01-12 00:00:00+07:00,1963.9613755465534,2004.2064857011958,1955.9123535156248,1955.912353515625,39099600,0.0,0.0
2015-01-13 00:00:00+07:00,1955.9123818002097,1988.1084703895135,1955.9123818002097,1980.0594482421875,32302800,0.0,0.0
2015-01-14 00:00:00+07:00,1980.0591010422004,1996.1571425140883,1963.9610595703127,1963.9610595703125,34135800,0.0,0.0
2015-01-15 00:00:00+07:00,1980.0594482421875,1996.1574925368395,1955.9123818002097,1980.0594482421875,40961600,0.0,0.0
2015-01-16 00:00:00+07:00,1955.9123974405072,1972.010441863886,1915.6672863820606,1923.71630859375,56018800,0.0,0.0
2015-01-19 00:00:00+07:00,1939.8143530171285,1947.8633752288179,1915.6672863820606,1923.71630859375,27434800,0.0,0.0
2015-01-20 00:00:00+07:00,1923.7164037672142,1923.7164037672142,1843.2261776681676,1899.5693359375,83038800,0.0,0.0
2015-01-21 00:00:00+07:00,1907.6182641703713,1931.7653308054391,1891.5202197469926,1923.71630859375,44688400,0.0,0.0
2015-01-22 00:00:00+07:00,1931.765157234769,1947.8632002117254,1915.6671142578127,1915.6671142578125,84164000,0.0,0.0
2015-01-23 00:00:00+07:00,1939.813997362481,1988.1081217781443,1939.813997362481,1963.9610595703125,80012600,0.0,0.0
2015-01-26 00:00:00+07:00,1923.715955890593,1980.0591010422004,1923.715955890593,1963.9610595703125,52595800,0.0,0.0
2015-01-27 00:00:00+07:00,1972.0104045252647,2020.3045368809856,1963.961382465978,1996.157470703125,77835000,0.0,0.0
2015-01-28 00:00:00+07:00,2012.2555875585147,2028.3536322589828,1988.1085205078125,1988.1085205078125,45513200,0.0,0.0
2015-01-29 00:00:00+07:00,1988.1084703895135,2004.2065146841653,1980.0594482421875,1980.0594482421875,28126800,0.0,0.0
2015-01-30 00:00:00+07:00,2004.2067143554686,2020.3047602539061,1988.1086684570312,2012.2557373046875,76591400,0.0,0.0
2015-02-02 00:00:00+07:00,1996.1576914062498,2020.3047602539061,1988.1086684570312,2012.2557373046875,30717600,0.0,0.0
2015-02-03 00:00:00+07:00,2028.3532838339008,2076.64740963947,2020.3042628663059,2068.598388671875,65318400,0.0,0.0
2015-02-04 00:00:00+07:00,2092.74560546875,2197.3828857421877,2076.6475623497595,2092.74560546875,86321600,0.0,0.0
2015-02-05 00:00:00+07:00,2124.9415879360463,2149.0886514353197,2052.5003974382266,2076.6474609375,52550200,0.0,0.0
2015-02-06 00:00:00+07:00,2116.8922983233847,2181.284459489115,2108.8432781776683,2149.08837890625,65447800,0.0,0.0
2015-02-09 00:00:00+07:00,2181.2851109730113,2277.8733815696023,2165.1870658735797,2213.481201171875,64859600,0.0,0.0
2015-02-10 00:00:00+07:00,2229.5790943818934,2253.7261603860293,2189.333984375,2189.333984375,40042800,0.0,0.0
2015-02-11 00:00:00+07:00,2173.235789018936,2197.3828533413684,2165.186767578125,2165.186767578125,34928000,0.0,0.0
2015-02-12 00:00:00+07:00,2181.2848104597465,2181.2848104597465,2141.039703255692,2165.186767578125,21447000,0.0,0.0
2015-02-13 00:00:00+07:00,2181.284459489115,2189.3334796348313,2141.0393587605336,2149.08837890625,29701000,0.0,0.0
2015-02-16 00:00:00+07:00,2165.1864191976824,2173.235439343399,2141.0393587605336,2149.08837890625,23542000,0.0,0.0
2015-02-17 00:00:00+07:00,2141.03955078125,2157.1375925164475,2141.03955078125,2141.03955078125,12337600,0.0,0.0
2015-02-18 00:00:00+07:00,2189.333941915761,2229.5790511421537,2173.235898225204,2221.530029296875,84983600,0.0,0.0
2015-02-20 00:00:00+07:00,2245.6770948327107,2277.8731822138247,2221.530029296875,2221.530029296875,32341600,0.0,0.0
2015-02-23 00:00:00+07:00,2253.7261676444045,2253.7261676444045,2197.3830134532946,2229.5791015625,27499400,0.0,0.0
2015-02-24 00:00:00+07:00,2245.67724609375,2253.7262684811826,2221.5301789314517,2245.67724609375,34350000,0.0,0.0
2015-02-25 00:00:00+07:00,2253.7262684811826,2253.7262684811826,2229.5792013188843,2245.67724609375,29545200,0.0,0.0
2015-02-26 00:00:00+07:00,2229.5791015625,2245.677145617103,2205.432035480596,2229.5791015625,28528200,0.0,0.0
2015-02-27 00:00:00+07:00,2245.6772913707387,2245.6772913707387,2213.481201171875,2213.481201171875,37951000,0.0,0.0
2015-03-02 00:00:00+07:00,2229.578702383668,2237.6277229698903,2197.382620038777,2205.431640625,49290400,0.0,0.0
2015-03-03 00:00:00+07:00,2197.3824997805477,2213.48054007198,2141.0393587605336,2149.08837890625,69853800,0.0,0.0
2015-03-04 00:00:00+07:00,2149.0885716488488,2173.2356342516446,2108.8434673108554,2141.03955078125,58756000,0.0,0.0
2015-03-05 00:00:00+07:00,2149.08837890625,2165.1864191976824,2141.0393587605336,2149.08837890625,50280000,0.0,0.0
2015-03-06 00:00:00+07:00,2165.1868684775714,2189.3339339252766,2157.1378466616698,2181.284912109375,76903800,0.0,0.0
2015-03-09 00:00:00+07:00,2173.235983777402,2181.2850059395405,2149.0889172909865,2157.137939453125,60375200,0.0,0.0
2015-03-10 00:00:00+07:00,2157.138038917824,2205.4321741174767,2149.0890163845484,2173.236083984375,79518600,0.0,0.0
2015-03-11 00:00:00+07:00,2173.235983777402,2181.2850059395405,2149.0889172909865,2157.137939453125,72916800,0.0,0.0
2015-03-12 00:00:00+07:00,2165.186767578125,2197.3828533413684,2149.088724696503,2165.186767578125,51661400,0.0,0.0
2015-03-13 00:00:00+07:00,2181.2851065176505,2181.2851065176505,2157.138038917824,2173.236083984375,40006000,0.0,0.0
2015-03-16 00:00:00+07:00,2165.1869253440886,2229.5791015625,2149.0888812894855,2229.5791015625,61621800,0.0,0.0
2015-03-17 00:00:00+07:00,2229.5790511421537,2245.6770948327107,2205.431985606318,2221.530029296875,41834400,0.0,0.0
2015-03-18 00:00:00+07:00,2229.5789083576888,2245.6769510173112,2205.4318443682555,2237.6279296875,38261000,0.0,0.0
2015-03-19 00:00:00+07:00,2245.6772957938056,2285.922408621652,2237.6282732282366,2253.726318359375,76247600,0.0,0.0
2015-03-20 00:00:00+07:00,2253.7259723471225,2253.7259723471225,2229.5789083576888,2237.6279296875,38954800,0.0,0.0
2015-03-23 00:00:00+07:00,2253.726318359375,2261.775340924944,2229.579250662667,2253.726318359375,28081600,0.0,0.0
2015-03-24 00:00:00+07:00,2237.628228845731,2285.92236328125,2237.628228845731,2285.92236328125,45707600,0.0,0.0
2015-03-25 00:00:00+07:00,2308.779795545213,2349.861286569149,2292.347199135638,2316.99609375,41488400,72.27485,0.0
2015-03-26 00:00:00+07:00,2316.996356802927,2349.861553353323,2300.5637585277286,2333.428955078125,45867600,0.0,0.0
2015-03-27 00:00:00+07:00,2325.212655940526,2341.645254215724,2308.7800576653276,2333.428955078125,25620000,0.0,0.0
2015-03-30 00:00:00+07:00,2349.861514718192,2366.2941127232143,2300.563720703125,2300.563720703125,44751800,0.0,0.0
2015-03-31 00:00:00+07:00,2349.8616001432742,2374.510498046875,2341.645300842074,2374.510498046875,59752400,0.0,0.0
2015-04-01 00:00:00+07:00,2382.726318359375,2382.726318359375,2333.4285324622847,2382.726318359375,54129600,0.0,0.0
2015-04-02 00:00:00+07:00,2366.29345703125,2382.726050482856,2341.6445668538413,2366.29345703125,34532000,0.0,0.0
2015-04-06 00:00:00+07:00,2382.726285183471,2382.726285183471,2349.8610950430093,2358.077392578125,29098600,0.0,0.0
2015-04-07 00:00:00+07:00,2382.726329266001,2390.942626953125,2366.2937338917527,2390.942626953125,40029200,0.0,0.0
2015-04-08 00:00:00+07:00,2374.510498046875,2390.9430966492755,2358.0778994444745,2374.510498046875,28646800,0.0,0.0
2015-04-09 00:00:00+07:00,2382.726285183471,2382.726285183471,2349.8610950430093,2358.077392578125,18791200,0.0,0.0
2015-04-10 00:00:00+07:00,2349.8613178453948,2366.2939144736843,2333.4287212171052,2341.64501953125,27541400,0.0,0.0
2015-04-13 00:00:00+07:00,2366.29345703125,2366.29345703125,2308.7793799506294,2366.29345703125,31733600,0.0,0.0
2015-04-14 00:00:00+07:00,2358.077852490922,2358.077852490922,2325.212655940526,2333.428955078125,21955400,0.0,0.0
2015-04-15 00:00:00+07:00,2325.212655940526,2333.428955078125,2300.5637585277286,2333.428955078125,30898400,0.0,0.0
2015-04-16 00:00:00+07:00,2333.4287314248254,2358.0776264750875,2325.212433074738,2349.861328125,36702200,0.0,0.0
2015-04-17 00:00:00+07:00,2333.4286901595747,2349.861286569149,2316.99609375,2316.99609375,24982200,0.0,0.0
2015-04-20 00:00:00+07:00,2325.212202437663,2358.077392578125,2316.995904902548,2358.077392578125,18803600,0.0,0.0
2015-04-21 00:00:00+07:00,2333.4284999727784,2366.2936901132402,2333.4284999727784,2358.077392578125,50267000,0.0,0.0
2015-04-22 00:00:00+07:00,2374.51045076612,2374.51045076612,2333.428955078125,2333.428955078125,27232600,0.0,0.0
2015-04-23 00:00:00+07:00,2349.8613178453948,2358.0776161595395,2333.4287212171052,2341.64501953125,36581400,0.0,0.0
2015-04-24 00:00:00+07:00,2341.64494576214,2341.64494576214,2284.130859375,2284.130859375,70098400,0.0,0.0
2015-04-27 00:00:00+07:00,2267.698321063702,2267.698321063702,2128.0212505634017,2136.237548828125,144743400,0.0,0.0
2015-04-28 00:00:00+07:00,2169.1028033952066,2185.535400390625,2111.588713911243,2185.535400390625,58757400,0.0,0.0
2015-04-29 00:00:00+07:00,2201.9679455519636,2201.9679455519636,2054.074576074593,2144.453857421875,112771600,0.0,0.0
2015-04-30 00:00:00+07:00,2136.2372704888135,2160.8861620713765,2095.1557845178745,2111.58837890625,129670400,0.0,0.0
2015-05-04 00:00:00+07:00,2103.372586872587,2160.8866810448844,2078.723689370174,2128.021484375,54178000,0.0,0.0
2015-05-05 00:00:00+07:00,2144.4538470928487,2160.8864436222957,2111.5886540339543,2136.237548828125,67320000,0.0,0.0
2015-05-06 00:00:00+07:00,2136.237569328483,2169.102762702767,2111.5886742977696,2152.670166015625,41407800,0.0,0.0
2015-05-07 00:00:00+07:00,2169.102582789179,2226.6166664237408,2152.669987465019,2201.9677734375,71871800,0.0,0.0
2015-05-08 00:00:00+07:00,2210.1842958837524,2226.616892879171,2185.535400390625,2185.535400390625,33562400,0.0,0.0
2015-05-11 00:00:00+07:00,2218.4005943814614,2226.616892879171,2185.535400390625,2185.535400390625,35371600,0.0,0.0
2015-05-12 00:00:00+07:00,2201.968037471065,2226.6169334129054,2185.535440176505,2218.400634765625,18999000,0.0,0.0
2015-05-13 00:00:00+07:00,2234.833261790293,2251.2658593034566,2218.400664277129,2243.049560546875,24540000,0.0,0.0
2015-05-15 00:00:00+07:00,2259.482117833701,2259.482117833701,2201.9680275615706,2210.184326171875,22217000,0.0,0.0
2015-05-18 00:00:00+07:00,2185.5349239963716,2218.4001108233847,2185.5349239963716,2193.751220703125,28726000,0.0,0.0
2015-05-19 00:00:00+07:00,2185.535440176505,2234.8332320601853,2185.535440176505,2218.400634765625,44776600,0.0,0.0
2015-05-20 00:00:00+07:00,2234.832997001845,2234.832997001845,2210.1841036525598,2226.61669921875,23198400,0.0,0.0
2015-05-21 00:00:00+07:00,2218.4007306780136,2316.9963187081476,2218.4007306780136,2300.563720703125,58901600,0.0,0.0
2015-05-22 00:00:00+07:00,2275.9148518592647,2341.645244692745,2259.4822536508946,2325.212646484375,37526800,0.0,0.0
2015-05-25 00:00:00+07:00,2333.4286901595747,2333.4286901595747,2308.779795545213,2316.99609375,26294600,0.0,0.0
2015-05-26 00:00:00+07:00,2300.5634554856115,2316.996051596223,2284.130859375,2284.130859375,33367200,0.0,0.0
2015-05-27 00:00:00+07:00,2284.1305689011174,2292.3468659115533,2218.400192817632,2251.265380859375,36999600,0.0,0.0
2015-05-28 00:00:00+07:00,2267.6982421875,2284.1308381453805,2259.48194420856,2267.6982421875,36734000,0.0,0.0
2015-05-29 00:00:00+07:00,2275.9150213068183,2284.131321022727,2218.4009232954545,2259.482421875,46097000,0.0,0.0
2015-06-01 00:00:00+07:00,2226.616892879171,2243.0494898745887,2169.1028033952066,2185.535400390625,55978400,0.0,0.0
2015-06-03 00:00:00+07:00,2185.5350298713233,2185.5350298713233,2054.074276194853,2095.15576171875,77022600,0.0,0.0
2015-06-04 00:00:00+07:00,2103.372353830645,2111.588652087796,2037.6419677734373,2037.6419677734375,106657800,0.0,0.0
2015-06-05 00:00:00+07:00,2004.7767848738704,2054.074574665851,2004.7767848738704,2045.8582763671875,51232600,0.0,0.0
2015-06-08 00:00:00+07:00,2029.4257204681019,2045.858317394969,1980.1279296875002,1980.1279296875,54985400,0.0,0.0
2015-06-09 00:00:00+07:00,1955.47881553913,1955.47881553913,1856.8832450077452,1906.1810302734375,136822000,0.0,0.0
2015-06-10 00:00:00+07:00,1930.829775602921,1971.9112601902173,1873.3156971807064,1889.748291015625,92982000,0.0,0.0
2015-06-11 00:00:00+07:00,1914.397351457399,1922.613649103139,1807.5854820627803,1832.234375,121075800,0.0,0.0
2015-06-12 00:00:00+07:00,1848.667236328125,1856.88353515625,1815.802041015625,1848.667236328125,71934800,0.0,0.0
2015-06-15 00:00:00+07:00,1824.0178608739097,1832.234157544513,1766.5037841796875,1766.5037841796875,57799800,0.0,0.0
2015-06-16 00:00:00+07:00,1750.0714849298652,1815.8018693403765,1708.9899946732955,1807.5855712890625,112535600,0.0,0.0
2015-06-17 00:00:00+07:00,1824.018229526756,1865.099721182764,1791.1530362019496,1856.8834228515625,76399600,0.0,0.0
2015-06-18 00:00:00+07:00,1865.0997938613546,1873.3160925127263,1799.3694046503817,1815.802001953125,61767600,0.0,0.0
2015-06-19 00:00:00+07:00,1824.0180773542602,1856.8832679372197,1824.0180773542602,1832.234375,68060600,0.0,0.0
2015-06-22 00:00:00+07:00,1840.4508056640625,1865.0997003827777,1824.0182091849192,1840.4508056640625,49494600,0.0,0.0
2015-06-23 00:00:00+07:00,1856.8832679372197,1856.8832679372197,1807.5854820627803,1832.234375,39508200,0.0,0.0
2015-06-24 00:00:00+07:00,1832.2344654430044,1856.883359596946,1791.1529751864348,1807.5855712890625,54783800,0.0,0.0
2015-06-25 00:00:00+07:00,1791.1530351014896,1799.3693334276431,1750.0715434707215,1758.287841796875,62040000,0.0,0.0
2015-06-26 00:00:00+07:00,1725.4226178354563,1774.7204069164693,1725.4226178354563,1733.638916015625,55679200,0.0,0.0
2015-06-29 00:00:00+07:00,1708.9900111607144,1733.6389055524553,1676.124818638393,1725.422607421875,38102400,0.0,0.0
2015-06-30 00:00:00+07:00,1733.6390478745946,1758.2879442898732,1708.9901514593162,1741.8553466796875,76619600,0.0,0.0
2015-07-01 00:00:00+07:00,1741.8553466796875,1766.5042430949661,1733.6390478745946,1741.8553466796875,50350000,0.0,0.0
2015-07-02 00:00:00+07:00,1750.071398542601,1840.4506726457398,1741.855100896861,1832.234375,120236000,0.0,0.0
2015-07-03 00:00:00+07:00,1840.4509375,1865.099833984375,1799.369443359375,1848.667236328125,57287000,0.0,0.0
2015-07-06 00:00:00+07:00,1815.8017242151664,1848.6669137937215,1774.7202372419727,1791.15283203125,51381600,0.0,0.0
2015-07-07 00:00:00+07:00,1791.1531157622464,1824.018310546875,1791.1531157622464,1824.018310546875,46486800,0.0,0.0
2015-07-08 00:00:00+07:00,1807.5854040075233,1815.8017012984665,1766.5039175528068,1774.72021484375,69074400,0.0,0.0
2015-07-09 00:00:00+07:00,1766.5041401230287,1791.1530351014896,1725.4226484922606,1758.287841796875,51438800,0.0,0.0
2015-07-10 00:00:00+07:00,1774.7202372419727,1799.369129425889,1758.287642452695,1791.15283203125,38366200,0.0,0.0
2015-07-13 00:00:00+07:00,1807.5856833261987,1815.8019818867722,1782.9367876444778,1799.369384765625,38223400,0.0,0.0
2015-07-14 00:00:00+07:00,1815.8020359255233,1832.234633535709,1725.4227490695018,1741.8553466796875,108126600,0.0,0.0
2015-07-15 00:00:00+07:00,1741.8552546759545,1750.0715530470675,1667.9085693359375,1667.9085693359375,108003400,0.0,0.0
2015-07-22 00:00:00+07:00,1684.3410856827447,1733.638873556386,1684.3410856827447,1700.773681640625,116952400,0.0,0.0
2015-07-23 00:00:00+07:00,1700.7737731933594,1717.2063700358071,1667.9085795084636,1676.1248779296875,121323800,0.0,0.0
2015-07-24 00:00:00+07:00,1667.9084143066407,1676.1247119140626,1638.329742919922,1643.259521484375,91603600,0.0,0.0
2015-07-27 00:00:00+07:00,1643.2597052190722,1659.692302271263,1577.5293170103093,1593.9619140625,83027000,0.0,0.0
2015-07-28 00:00:00+07:00,1577.5291013566912,1587.3886582401706,1556.1667281091527,1559.4532470703125,60441000,0.0,0.0
2015-07-29 00:00:00+07:00,1577.528875942888,1587.388431417531,1518.3715430950297,1524.944580078125,79417600,0.0,0.0
2015-07-30 00:00:00+07:00,1543.0207582201278,1547.9505370003837,1462.5010381426132,1472.360595703125,173561000,0.0,0.0
2015-07-31 00:00:00+07:00,1465.7874858439468,1574.2426137202926,1462.500966817391,1564.383056640625,103975200,0.0,0.0
2015-08-03 00:00:00+07:00,1564.3832495700285,1592.3186647409218,1547.9506524106794,1582.4591064453125,60638000,0.0,0.0
2015-08-04 00:00:00+07:00,1582.4591474324245,1589.0321864664118,1572.5995888814439,1575.8861083984375,51947800,0.0,0.0
2015-08-05 00:00:00+07:00,1577.529296875,1684.3411763509114,1575.8860371907551,1676.1248779296875,80326600,0.0,0.0
2015-08-06 00:00:00+07:00,1692.557383661685,1725.4225755774457,1692.557383661685,1700.773681640625,110051600,0.0,0.0
2015-08-07 00:00:00+07:00,1676.1247119140626,1684.3410095214845,1639.9730024414064,1643.259521484375,53685600,0.0,0.0
2015-08-10 00:00:00+07:00,1625.1836425531617,1626.826902050182,1595.6049716067948,1607.1077880859375,58271400,0.0,0.0
2015-08-11 00:00:00+07:00,1612.0377181565264,1623.5405357172763,1511.7988794128485,1533.1612548828125,86303600,0.0,0.0
