Date,BBCA,BBRI,BMRI,BBNI
2015-01-02 00:00:00+07:00,2066.48828125,1220.73486328125,1555.21875,1963.9610595703125
2015-01-05 00:00:00+07:00,2062.58154296875,1215.4954833984375,1551.626953125,1939.8143310546875
2015-01-06 00:00:00+07:00,2046.956298828125,1207.636962890625,1540.8514404296875,1939.8143310546875
2015-01-07 00:00:00+07:00,2050.862548828125,1233.832763671875,1558.8104248046875,1955.912353515625
2015-01-08 00:00:00+07:00,2027.4241943359375,1254.78955078125,1573.177001953125,1955.912353515625
2015-01-09 00:00:00+07:00,2019.6109619140625,1260.02880859375,1598.319580078125,1980.0594482421875
2015-01-12 00:00:00+07:00,2031.3306884765625,1231.213134765625,1555.21875,1955.912353515625
2015-01-13 00:00:00+07:00,2031.3306884765625,1239.07177734375,1544.443603515625,1980.0594482421875
2015-01-14 00:00:00+07:00,2019.6109619140625,1231.213134765625,1540.8514404296875,1963.9610595703125
2015-01-15 00:00:00+07:00,2023.5172119140625,1225.973876953125,1565.9940185546875,1980.0594482421875
2015-01-16 00:00:00+07:00,2023.5172119140625,1212.875732421875,1537.26025390625,1923.71630859375
2015-01-19 00:00:00+07:00,2031.3306884765625,1215.4954833984375,1540.8514404296875,1923.71630859375
2015-01-20 00:00:00+07:00,2035.2366943359375,1205.017333984375,1544.443603515625,1899.5693359375
2015-01-21 00:00:00+07:00,2043.0496826171875,1197.158447265625,1576.768798828125,1923.71630859375
2015-01-22 00:00:00+07:00,2062.58154296875,1202.3975830078125,1580.36083984375,1915.6671142578125
2015-01-23 00:00:00+07:00,2082.113525390625,1244.3109130859375,1634.23681640625,1963.9610595703125
2015-01-26 00:00:00+07:00,2054.768798828125,1244.3109130859375,1594.727783203125,1963.9610595703125
2015-01-27 00:00:00+07:00,2062.58154296875,1249.5504150390625,1591.135986328125,1996.157470703125
2015-01-28 00:00:00+07:00,2074.300537109375,1225.973876953125,1576.768798828125,1988.1085205078125
2015-01-29 00:00:00+07:00,2082.113525390625,1225.973876953125,1576.768798828125,1980.0594482421875
2015-01-30 00:00:00+07:00,2089.926513671875,1223.3544921875,1580.36083984375,2012.2557373046875
2015-02-02 00:00:00+07:00,2086.0205078125,1228.593505859375,1616.2779541015625,2012.2557373046875
2015-02-03 00:00:00+07:00,2109.458740234375,1231.213134765625,1630.6446533203125,2068.598388671875
2015-02-04 00:00:00+07:00,2171.9609375,1233.832763671875,1634.23681640625,2092.74560546875
2015-02-05 00:00:00+07:00,2140.710205078125,1225.973876953125,1616.2779541015625,2076.6474609375
2015-02-06 00:00:00+07:00,2140.710205078125,1220.73486328125,1630.6446533203125,2149.08837890625
2015-02-09 00:00:00+07:00,2156.335205078125,1223.3544921875,1680.9293212890625,2213.481201171875
2015-02-10 00:00:00+07:00,2148.5224609375,1220.73486328125,1670.15380859375,2189.333984375
2015-02-11 00:00:00+07:00,2175.866943359375,1225.973876953125,1688.1126708984375,2165.186767578125
2015-02-12 00:00:00+07:00,2171.9609375,1244.3109130859375,1691.704345703125,2165.186767578125
2015-02-13 00:00:00+07:00,2191.49267578125,1257.4093017578125,1709.662841796875,2149.08837890625
2015-02-16 00:00:00+07:00,2187.5869140625,1260.02880859375,1691.704345703125,2149.08837890625
2015-02-17 00:00:00+07:00,2199.3056640625,1257.4093017578125,1680.9293212890625,2141.03955078125
2015-02-18 00:00:00+07:00,2199.3056640625,1307.181640625,1713.25439453125,2221.530029296875
2015-02-20 00:00:00+07:00,2195.39892578125,1333.3779296875,1734.80517578125,2221.530029296875
2015-02-23 00:00:00+07:00,2191.49267578125,1330.758056640625,1706.0714111328125,2229.5791015625
2015-02-24 00:00:00+07:00,2195.39892578125,1341.2362060546875,1706.0714111328125,2245.67724609375
