Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-02 00:00:00+07:00,1207.636892300181,1228.5935895883931,1207.636892300181,1220.73486328125,49671357,0.0,0.0
2015-01-05 00:00:00+07:00,1215.4954833984375,1225.9739715806866,1212.8758613528753,1215.4954833984375,54526841,0.0,0.0
2015-01-06 00:00:00+07:00,1210.2564446769597,1218.1153121472257,1205.0173404005363,1207.636962890625,71601886,0.0,0.0
2015-01-07 00:00:00+07:00,1215.495549065995,1233.832763671875,1212.8759268789067,1233.832763671875,160783727,0.0,0.0
2015-01-08 00:00:00+07:00,1236.4523369014348,1254.78955078125,1236.4523369014348,1254.78955078125,161332636,0.0,0.0
2015-01-09 00:00:00+07:00,1260.0288085937498,1267.8875342252175,1252.1699422585489,1260.02880859375,147933855,0.0,0.0
2015-01-12 00:00:00+07:00,1236.4523791112092,1252.1699714442245,1228.5935125928331,1231.213134765625,98847157,0.0,0.0
2015-01-13 00:00:00+07:00,1225.973809550752,1241.691399043092,1225.973809550752,1239.07177734375,86738698,0.0,0.0
2015-01-14 00:00:00+07:00,1233.832756938417,1246.9307270986405,1231.213134765625,1231.213134765625,88165422,0.0,0.0
2015-01-15 00:00:00+07:00,1225.973876953125,1236.4522236228663,1223.35425510976,1225.973876953125,163544774,0.0,0.0
2015-01-16 00:00:00+07:00,1220.7345977231494,1241.6914311561661,1210.2561106547835,1212.875732421875,160613224,0.0,0.0
2015-01-19 00:00:00+07:00,1215.4954833984375,1225.9739715806866,1212.8758613528753,1215.4954833984375,102499770,0.0,0.0
2015-01-20 00:00:00+07:00,1215.4956831851832,1218.1153056613236,1186.6801173551455,1205.017333984375,305800881,0.0,0.0
2015-01-21 00:00:00+07:00,1218.1152860333084,1220.7349084672378,1191.9192023977666,1197.158447265625,238037511,0.0,0.0
2015-01-22 00:00:00+07:00,1205.0172052039934,1212.875931088798,1191.9190942230887,1202.3975830078125,179535751,0.0,0.0
2015-01-23 00:00:00+07:00,1215.4952175899925,1244.3109130859375,1215.4952175899925,1244.3109130859375,185410952,0.0,0.0
